word,definition
FOOTS,"FOOT, to walk [v]"
FOOTY,"mean [adj FOOTIER, FOOTIEST] / football [n FOOTIES]"
FORAM,"one of the Rhizopoda, amoebae moving and taking in food with pseudopods, also FORAMINIFER [n -S]"
FORAY,"to make a raid [v -ED, -ING, -S]"
FORCE,"to compel by strength [v FORCED, FORCING, FORCES]"
FORDO,"to destroy, also FOREDO [v FORDID, FORDONE, FORDOING, FORDOES]"
FORDS,"FORD, to wade across [v]"
FOREL,"to bind books with a kind of parchment [v FORELLED, FORELLING, FORELS]"
FORES,"FORE, the front part of something [n]"
FORGE,"to counterfeit for fraudulent purposes [v FORGED, FORGING, FORGES]"
FORGO,"to refrain from [v FORWENT, FORGONE, FORGOING, FORGOES]"
FORKS,"FORK, to work with a pronged implement [v]"
FORKY,"resembling a fork [adj FORKIER, FORKIEST]"
FORME,a body of type secured for printing in chase [n -S]
FORMS,"FORM, to shape or produce [v]"
FORTH,onward in time [adv]
FORTS,"FORT, to fortify [v]"
FORTY,a number [n FORTIES]
FOSSE,"a ditch or moat, also FOSS [n -S]"
FOULS,"FOUL, to make dirty [v]"
FOUND,"to establish [v -ED, -ING, -S]"
FOUNT,"a fountain, a spring [n -S]"
FOURS,"FOUR, the cardinal number next above three [n]"
FOWLS,"FOWL, to hunt birds [v]"
FOXED,"FOX, to outwit [v]"
FOXES,"FOX, to outwit [v]"
FRACK,"to engage in fracking for shale oil [v -ED, -ING, -S]"
FRACT,"to break; to violate [v -ED, -ING, -S]"
FRAGS,"FRAG, to kill with a fragmentation grenade [v]"
FRAIL,"a basket for holding dried fruit [n -S] / weak, infirm [adj FRAILER, FRAILEST, FRAILLY]"
FRAME,"to enclose in a border [v FRAMED, FRAMING, FRAMES]"
FRANK,"to mark mail for postage [v -ED, -ING, -S] / free and open [adj FRANKER, FRANKEST, FRANKLY]"
FRAPE,"to alter the personal details on a social website without the owner's consent [v FRAPED, FRAPING, FRAPES]"
FRASS,debris or excrement produced by insects [n -ES]
FRAUD,criminal deception [n -S]
FRAYS,"FRAY, to wear by rubbing [v]"
FREAK,"to spot or streak [v -ED, -ING, -S]"
FREED,"FREE, to set at liberty [v]"
FREER,one who frees [n -S]
FREES,"FREE, to set at liberty [v]"
FRERE,a friar [n -S]
FRESH,"to improve the condition of, also FRESHEN [v -ED, -ING, -ES] / new [adj FRESHER, FRESHEST, FRESHLY]"
FRETS,"FRET, to worry [v]"
FRIAR,a member of a religious order [n -S]
FRIED,"FRY, to cook in fat or oil [v]"
FRIER,"a pan or container for frying, also FRYER [n -S]"
FRIES,"FRY, to cook in fat or oil [v]"
FRIGS,"FRIG, to potter about [v]"
FRILL,"to provide with a ruffled edge [v -ED, -ING, -S]"
FRISK,"to gambol, or leap playfully [v -ED, -ING, -S]"
FRIST,"to postpone, grant time [v -ED, -ING, -S]"
FRITH,"an inlet of the sea, also FIRTH [n -S]"
FRITS,"FRIT, to fuse into a vitreous substance, also FRITT [v]"
FRITT,"to fuse into a vitreous substance, also FRIT [v -ED, -ING, -S]"
FRITZ,"(of an appliance, etc.) to become broken or start malfunctioning [v -ED, -ING, -ES]"
FROCK,"to invest with priestly office [v -ED, -ING, -S]"
FROES,"FROE, a cleaving tool with its blade at right angles to its handle [n]"
FROGS,"FROG, to hunt for frogs, webfooted, tailless amphibians [v]"
FROND,a type of leaf [n -S]
FRONT,"to the fore [adj FRONTER, FRONTEST] / to present [v -ED, -ING, -S]"
FRORE,"frozen, also FROREN, FRORN, FRORNE, FRORY [adj]"
FRORN,"frozen, also FRORE, FROREN, FRORNE, FRORY [adj]"
FROST,"to cover with a deposit of minute ice crystals [v -ED, -ING, -S]"
FROTH,"to foam [v -ED, -ING, -S]"
FROWN,"to wrinkle the brow with displeasure [v -ED, -ING, -S]"
FROWY,"musty, rancid, also FROUGHY, FROWIE [adj FROWIER, FROWIEST]"
FROZE,"FREEZE, to turn into a solid by lowering the temperature [v]"
FRUGS,"FRUG, to perform a type of vigorous dance [v]"
FRUIT,"to produce an edible part of a plant [v -ED, -ING, -S]"
FRUST,a fragment [n -S]
FRYER,"a pan or container for frying, also FRIER [n -S]"
FUBSY,"chubby, also FUBBY [adj FUBSIER, FUBSIEST]"
FUDDY,"old-fashioned, dull [adj FUDDIER, FUDDIEST] / an old-fashioned person [n FUDDIES]"
FUDGE,"to falsify [v FUDGED, FUDGING, FUDGES]"
FUDGY,"resembling fudge (a soft, sweet candy) [adj FUDGIER, FUDGIEST]"
FUELS,"FUEL, to provide with an energy-producing material [v]"
FUGAL,being in the state of a fugue [adj]
FUGGY,"close, stuffy [adj FUGGIER, FUGGIEST, FUGGILY]"
FUGIO,a former coin of the United States [n -S]
FUGUE,"to compose a type of musical composition [v FUGUED, FUGUING, FUGUES]"
FULLS,"FULL, to shrink and thicken, as cloth [v]"
FULLY,"FULL, filled completely [adv]"
FUMED,"FUME, to give off smoke or vapour [v]"
FUMER,one that fumes [n -S]
FUMES,"FUME, to give off smoke or vapour [v]"
FUNDI,"in South Africa, an expert [n -S]"
FUNDS,"FUND, to provide money for [v]"
FUNKS,"FUNK, to shrink back in fear [v]"
FUNKY,"of jazz, pop music etc., earthy, soulful [adj FUNKIER, FUNKIEST, FUNKILY]"
FUNNY,"a comic strip [n FUNNIES] / amusing [adj FUNNIER, FUNNIEST, FUNNILY]"
FURAL,"a liquid obtained by heating bran with dilute sulphuric acid, also FURFURAL, FURFURALDEHYDE, FURFUROL, FURFUROLE, FUROL, FUROLE [n -S]"
FURAN,"a chemical used in tanning, also FURANE, FURFURAN [n -S]"
FURCA,any forklike structure esp. in insects [n FURCAE]
FURLS,"FURL, to roll up [v]"
FUROL,"a liquid obtained by heating bran with dilute sulphuric acid, also FURAL, FURFURAL, FURFURALDEHYDE, FURFUROL, FURFUROLE, FUROLE [n -S]"
FUROR,"an outburst of public indignation, also FURORE [n -S]"
FURRY,"covered in fur [adj FURRIER, FURRIEST, FURRILY] / a Cornish dance [n FURRIES]"
FURZE,"a spiny shrub, aka gorse or whin [n -S]"
FURZY,"abounding in furze [adj FURZIER, FURZIEST]"
FUSED,"FUSE, to equip with a detonating device, also FUZE [v]"
FUSEL,"a nauseous mixture of alcohols in spirits distilled from potatoes, grain etc. [n -S]"
FUSES,"FUSE, to equip with a detonating device, also FUZE [v]"
FUSIL,"a type of flintlock musket, also FUZIL [n -S]"
FUSSY,"overly concerned with small details [adj FUSSIER, FUSSIEST, FUSSILY]"
FUSTS,"FUST, to smell mouldy [v]"
FUSTY,"old-fashioned; musty, also FOUSTY [adj FUSTIER, FUSTIEST, FUSTILY]"
FUZED,"FUZE, to equip with a detonating device, also FUSE [v]"
FUZES,"FUZE, to equip with a detonating device, also FUSE [v]"
FUZIL,"a type of flintlock musket, also FUSIL [n -S]"
FYCES,"FYCE, a small dog of mixed breed, also FEIST, FICE [n]"
GADES,"GADE, a miner's wedge, also GAID [n]"
GADGE,an instrument of torture [n -S]
GADID,"a type of fish, also GADOID [n -S]"
GAGED,"GAGE, to pledge as security [v]"
GAGER,"one who gauges; an officer whose business it is to ascertain the contents of casks, also GAUGER [n -S]"
GAGES,"GAGE, to pledge as security [v]"
GAIDS,"GAID, a miner's wedge, also GADE [n]"
GAILY,"GAY, cheerful [adv]"
GAINS,"GAIN, to acquire [v]"
GAITS,"GAIT, to train a horse to move in a certain way [v]"
GALAS,"GALA, a celebration [n]"
GALAX,a heathlike evergreen plant of the southwestern US [n -ES]
GALED,"GALE, to frolic playfully [v]"
GALES,"GALE, to frolic playfully [v]"
GALLS,"GALL, to make sore by rubbing [v]"
GALLY,"gall-like, bitter [adj GALLIER, GALLIEST] / to scare, daze [v GALLIED, GALLYING, GALLIES]"
GALVO,an instrument for measuring electric current [n -S]
GAMBE,"in heraldry, a beast's whole leg, also GAMB [n -S]"
GAMBS,"GAMB, in heraldry, a beast's whole leg, also GAMBE [n]"
GAMED,"GAME, to gamble [v]"
GAMER,a player who relishes competition [n -S]
GAMES,"GAME, to gamble [v]"
GAMEY,"tasting like game, highly flavoured, also GAMY [adj GAMIER, GAMIEST]"
GAMIC,requiring fertilisation [adj]
GAMME,a musical scale [n -S]
GAMMY,"lame, maimed [adj GAMMIER, GAMMIEST]"
GAMPS,"GAMP, a large umbrella [n]"
GAMUT,"the complete range of something, e.g. the full range of notes which a voice or instrument can produce [n -S]"
GANCH,"to impale, also GAUNCH [v -ED, -ING, -ES]"
GANDY,"as in gandy dancer, a railway track maintenance worker [adj]"
GAOLS,"GAOL, to imprison, also JAIL [v]"
GAPED,"GAPE, to stare with open mouth [v]"
GAPER,a mollusc with a shell gaping at each end [n -S]
GAPES,"GAPE, to stare with open mouth [v]"
GAPPY,"full of gaps [adj GAPPIER, GAPPIEST]"
GARBS,"GARB, to clothe [v]"
GASES,"GAS, to poison with gas [v]"
GASPS,"GASP, to breathe convulsively [v]"
GASPY,"gasping [adj GASPIER, GASPIEST]"
GASSY,"containing gas [adj GASSIER, GASSIEST, GASSILY]"
GATCH,"to behave boastfully, also GACH, GAUCH [v -ED, -ING, -ES]"
GATED,"GATE, to supply with a gate [v]"
GATER,"an alligator, also GATOR [n -S]"
GATES,"GATE, to supply with a gate [v]"
GATHS,"GATH, in Indian music, the second section of a raga [n]"
GATOR,"an alligator, also GATER [n -S]"
GAUCH,"to behave boastfully, also GACH, GATCH [v -ED, -ING, -ES]"
GAUDS,"GAUD, to adorn with gauds [v]"
GAUDY,"tastelessly showy [adj GAUDIER, GAUDIEST, GAUDILY] / an entertainment or feast, esp. in certain English colleges [n GAUDIES]"
GAUGE,"to measure precisely [v GAUGED, GAUGING, GAUGES]"
GAULT,a heavy thick clay soil [n -S]
GAUMY,"dauby, smeary, also GORMY [adj GAUMIER, GAUMIEST]"
GAUNT,"to yawn, also GANT [v -ED, -ING, -S] / emaciated [adj GAUNTER, GAUNTEST, GAUNTLY]"
GAUPS,"GAUP, to stare stupidly, also GAWP, GORP [v]"
GAUZE,a transparent fabric [n -S]
GAUZY,"resembling gauze [adj GAUZIER, GAUZIEST, GAUZILY]"
GAWKS,"GAWK, to stare and gape [v]"
GAWKY,"awkward [adj GAWKIER, GAWKIEST, GAWKILY] / a tall awkward person [n GAWKIES]"
GAWPS,"GAWP, to stare stupidly, also GAUP, GORP [v]"
GAYER,"GAY, cheerful [adj]"
GAYLY,"GAY, cheerful [adv]"
GAZED,"GAZE, to look intently [v]"
GAZER,one who gazes [n -S]
GAZES,"GAZE, to look intently [v]"
GAZOO,"a toy musical instrument, also KAZOO, GAZOOKA [n -S]"
GEANS,"GEAN, a European wild cherry [n]"
GEATS,"GEAT, the channel or spout through which molten metal runs into a mold in casting [n]"
GECKS,"GECK, to mock, dupe [v]"
GEEKS,"GEEK, a weirdo, a nerd [n]"
GEEKY,"socially awkward or unappealing [adj GEEKIER, GEEKIEST]"
GEEPS,"GEEP, an artificial cross of a sheep and a goat [n]"
GEESE,"GOOSE, a swimming bird [n]"
GEEST,"alluvial matter on the surface of land, not of recent origin [n -S]"
GELDS,"GELD, to castrate an animal, esp. a horse [v]"
GELID,"extremely cold, icy [adj GELIDER, GELIDEST, GELIDLY]"
GEMEL,"in heraldry, a pair of bars placed close together [n -S]"
GEMMY,"resembling a gem [adj GEMMIER, GEMMIEST, GEMMILY]"
GENAL,of the cheek [adj]
GENES,"GENE, a hereditary unit [n]"
GENET,"a carnivorous mammal, also GENETTE [n -S] / a small Spanish horse, also GENNET, JENNET [n -S]"
GENIC,of or relating to a gene [adj GENICALLY]
GENNY,"a large triangular sail, also GENOA [n GENNIES]"
GENOM,"a haploid set of chromosomes, also GENOME [n -S]"
GENTY,"neat, trim [adj GENTIER, GENTIEST]"
GEODE,"a roughly spherical stone, hollow or partially hollow, containing an accumulation of mineral matter [n -S]"
GEOID,the figure of the earth's mean sea-level surface assumed to be continued under the land [n -S]
GERMS,"GERM, to put forth buds, sprout [v]"
GERMY,"full of germs [adj GERMIER, GERMIEST]"
GETUP,a costume [n -S]
GEYER,"GEY, considerable [adj]"
GHOST,"a spirit, the soul of a person [n -S] / to ghostwrite [v -ED, -ING, -S]"
GHYLL,a narrow ravine [n -S]
GIANT,a person or thing of great size [n -S]
GIBED,"GIBE, to scoff, mock, also JIBE [v]"
GIBER,"one who gibes, also JIBER [n -S]"
GIBES,"GIBE, to scoff, mock, also JIBE [v]"
GIDDY,"to make dizzy [v GIDDIED, GIDDYING, GIDDIES] / dizzy [adj GIDDIER, GIDDIEST, GIDDILY]"
GIFTS,"GIFT, to give without charge [v]"
GILAS,"GILA, a large lizard native to Arizona, New Mexico, etc. [n]"
GILDS,"GILD, to cover with a thin layer of gold [v]"
GILLS,"GILL, to catch fish in a gillnet [v]"
GILLY,"a Highland chief's attendant, also GHILLIE, GILLIE [n GILLIES] / to act as a gilly [v GILLIED, GILLYING, GILLIES]"
GILTS,"GILT, a young sow, also ELT, YELT [n]"
GIMME,"an easy golf putt conceded to an opponent, also GIMMIE [n -S]"
GIMPS,"GIMP, to make or furnish with gimp [v]"
GIMPY,"limping [adj GIMPIER, GIMPIEST]"
GIPON,"a sleeveless jacket worn beneath a hauberk, also JUPON [n -S]"
GIRDS,"GIRD, to surround [v]"
GIRLS,"GIRL, a female child [n]"
GIRLY,"a girl, also GIRLIE [n GIRLIES] / like a girl [adj GIRLIER, GIRLIEST]"
GIRON,"a heraldic inverted vee, also GYRON [n -S]"
GIROS,"GIRO, a system of credit transfer between banks, post offices, etc. [n]"
GIRTH,"the bellyband of a saddle [n -S] / to put a girth on [v -ED, -ING, -S]"
GIRTS,"GIRT, to gird, girth [v]"
GISMO,"a gadget, also GIZMO [n -S]"
GISTS,"GIST, the main point of a matter [n]"
GIVED,"GIVE, to transfer freely to another's possession [v]"
GIVEN,something assigned as a basis for calculation [n -S]
GIVER,one that gives [n -S]
GIVES,"GIVE, to transfer freely to another's possession [v]"
GIZMO,"a gadget, also GISMO [n -S]"
GLADE,an open space in a forest [n -S]
GLADS,"GLAD, to make happy [v]"
GLADY,"full of glades [adj GLADIER, GLADIEST]"
GLAIR,"to coat with egg white, also GLAIRE [v -ED, -ING, -S]"
GLAMS,"GLAM, to glamourise [v]"
GLAND,a secreting organ [n -S]
GLARE,"to shine with a harshly brilliant light [v GLARED, GLARING, GLARES]"
GLARY,"glaring [adj GLARIER, GLARIEST]"
GLAZE,"to fit windows with glass panes [v GLAZED, GLAZING, GLAZES]"
GLAZY,"covered with a smooth, glossy coating [adj GLAZIER, GLAZIEST, GLAZILY]"
GLEAM,"to shine with a soft radiance [v -ED, -ING, -S]"
GLEAN,"to gather little by little [v -ED, -ING, -S]"
GLEBE,the land belonging to a parish church or ecclesiastical benefice [n -S]
GLEDE,"a bird of prey, also GLED [n -S]"
GLEDS,"GLED, a bird of prey, also GLEDE [n]"
GLEED,a glowing coal [n -S]
GLEEK,"to jest, gibe [v -ED, -ING, -S]"
GLEET,"to discharge mucus from the urethra [v -ED, -ING, -S]"
GLENS,"GLEN, a narrow valley with a stream, often with trees [n]"
GLENT,"to glint [v -ED, -ING, -S]"
GLIAL,"like a glia, the connective tissue framework which supports the nervous matter and blood vessels of the brain and spinal cord [adj]"
GLIBS,"GLIB, to make plausible [v]"
GLIME,"to glance slyly [v GLIMED, GLIMING, GLIMES]"
GLIMS,"GLIM, a light or lamp [n]"
GLINT,"to glitter, also GLENT [v -ED, -ING, -S]"
GLITZ,"to make something glitzy, more attractive [v -ED, -ING, -ES]"
GLOAM,"twilight, also GLOAMING, GLOOMING [n -S]"
GLOAT,"to regard with great or excessive satisfaction [v -ED, -ING, -S]"
GLOBE,"to form into a spherical body [v GLOBED, GLOBING, GLOBES]"
GLOBS,"GLOB, a roundish drop or dollop of a semiliquid substance, esp. mucus [n]"
GLODE,"GLIDE, to move effortlessly [v]"
GLOMS,"GLOM, to steal, take a look, also GLAUM [v]"
GLOOM,"to become dark [v -ED, -ING, -S]"
GLOOP,"to plop slowly and heavily [v -ED, -ING, -S]"
GLORY,"to rejoice proudly [v GLORIED, GLORYING, GLORIES]"
GLOSS,"to make lustrous [v -ED, -ING, -ES]"
GLOST,an oven in which glazed pottery is fired [n -S]
GLOWS,"GLOW, to emit light and heat [v]"
GLUER,one who glues [n -S]
GLUEY,"resembling glue [adj GLUIER, GLUIEST, GLUILY]"
GLUGS,"GLUG, to make a gurgling sound [v]"
GLUME,an outer sterile bract enclosing the spikelet in grasses [n -S]
GLUMS,gloomy feelings [n]
GLUON,the name given to a hypothetical particle thought of as passing between quarks and so signifying the force that holds them together [n -S]
GLUTE,"any of the three large muscles of the buttocks, also GLUTAEUS [n -S]"
GLUTS,"GLUT, to feed or fill to excess [v]"
GLYPH,"a sunken channel or groove, usually vertical [n -S]"
GNARL,"to twist into a state of deformity, also KNARL [v -ED, -ING, -S]"
GNARR,"to snarl, also GNAR, KNAR [v -ED, -ING, -S]"
GNARS,"GNAR, to snarl, also GNARR, KNAR [v]"
GNASH,"to grind the teeth together [v -ED, -ING, -ES]"
GNATS,"GNAT, any small fly of the family Culicidae, of which the females are commonly bloodsuckers [n]"
GNAWN,"GNAW, to wear away by persistent biting [v]"
GNAWS,"GNAW, to wear away by persistent biting [v]"
GNOME,a fabled little person [n -S] / a pithy saying [n GNOMAE]
GNOWS,"GNOW, the mallee fowl [n]"
GOAFS,"GOAF, a space in a coal-seam, into which waste is packed [n]"
GOALS,"GOAL, to score a goal [v]"
GOATS,"GOAT, a horned mammal [n]"
GOATY,"like a goat, smelling of goat [adj GOATIER, GOATIEST] / a goatee beard, also GOATEE [n GOATIES]"
GOBAR,"as in gobar numeral, any of a set of numerals forming the stage between ancient Hindu numerals and present-day Arabic numerals, also GHUBAR [adj]"
GOBOS,"GOBO, a device to shield a microphone [n]"
GODLY,"like a god [adj GODLIER, GODLIEST, GODLILY]"
GODSO,"expressing surprise, also GADSO [interj]"
GOELS,"GOEL, the avenger of blood among the Hebrews, the next of kin whose job it was to hunt down a murderer [n]"
GOERS,"GOER, one that goes [n]"
GOFER,"a waffle with a pattern of crossed lines, also GAUFER, GAUFRE [n -S]"
GOIER,"GOEY, anxious to go [adj]"
GOING,an advance toward an objective [n -S]
GOLDS,"GOLD, a precious metallic element [n]"
GOLDY,"somewhat like gold [adj GOLDIER, GOLDIEST] / a goldfinch [n GOLDIES]"
GOLES,"GOLE, a goal, a target [n]"
GOLLY,"a grotesque black doll, also GOLLIWOG, GOLLIWOGG, GOLLYWOG [n GOLLIES] / to spit [v GOLLIED, GOLLYING, GOLLIES]"
GOLPE,"in heraldry, a purple roundel, also GOLP [n -S]"
GOLPS,"GOLP, in heraldry, a purple roundel, also GOLPE [n]"
GOMER,an unwanted hospital patient [n -S]
GONER,one who is in a hopeless situation [n -S]
GONGS,"GONG, to summon by sounding a gong [v]"
GONIA,"GONION, a part of the lower jaw [n]"
GOODS,"GOOD, something that is good [n]"
GOODY,"an archaic title for a goodwife [n GOODIES] / affectedly virtuous [adj GOODIER, GOODIEST]"
GOOEY,"sticky or viscid [adj GOOIER, GOOIEST, GOOILY]"
GOOFS,"GOOF, to blunder [v]"
GOOKY,"sticky, messy [adj GOOKIER, GOOKIEST]"
GOONS,"GOON, a hired thug [n]"
GOONY,"an albatross, also GOONEY, GOONIE [n GOONIES] / stupid [adj GOONIER, GOONIEST]"
GOOPS,"GOOP, sticky stuff, goo or gunk [n]"
GOOPY,"sticky or gooey [adj GOOPIER, GOOPIEST]"
GOOSE,"to poke between the buttocks [v GOOSED, GOOSING, GOOSES] / a swimming bird [n GEESE]"
GOOSY,"a goose, a blockhead, also GOOSEY [n GOOSIES] / resembling a goose [adj GOOSIER, GOOSIEST]"
GOPIK,"a monetary unit of Azerbaijan, one hundredth of a manat, also QAPIK [n -S]"
GORAL,"an Indian goat antelope resembling the chamois, also GOORAL [n -S]"
GORED,"GORE, to pierce with a horn or tusk [v]"
GORES,"GORE, to pierce with a horn or tusk [v]"
GORGE,"to stuff with food [v GORGED, GORGING, GORGES]"
GORMY,"dauby, smeary, also GAUMY [adj GORMIER, GORMIEST]"
GORPS,"GORP, to stare stupidly, also GAWP, GAUP [v]"
GORSE,"any prickly papilionaceous shrub of the genus Ulex, with yellow flowers, also GOSSE [n -S]"
GORSY,"covered with gorse [adj GORSIER, GORSIEST]"
GOTHS,"GOTH, someone into gothic music or fashion [n]"
GOUGE,"to cut or scoop out [v GOUGED, GOUGING, GOUGES]"
GOURA,"a large, crested ground pigeon inhabiting New Guinea and adjacent islands [n -S]"
GOURD,a large hard-rinded fleshy fruit characteristic of the cucumber family [n -S]
GOUTS,"GOUT, a metabolic disease [n]"
GOUTY,"affected with gout [adj GOUTIER, GOUTIEST, GOUTILY]"
GOWNS,"GOWN, to dress in a gown (a long, loose outer garment) [v]"
GOXES,"GOX, gaseous oxygen [n]"
GRAAL,"the cup used by Christ at the Last Supper, also GRAIL, GRAYLE [n -S]"
GRABS,"GRAB, to grasp suddenly [v]"
GRADE,"to arrange in steps or degrees [v GRADED, GRADING, GRADES]"
GRAFT,"to unite with a growing plant by insertion, also GRAFF [v -ED, -ING, -S]"
GRAIL,"the cup used by Christ at the Last Supper, also GRAAL, GRAYLE [n -S]"
GRAIN,"to form into small particles [v -ED, -ING, -S]"
GRAIP,a pitchfork used for hurling manure or digging potatoes [n -S]
GRAMP,grandfather [n -S]
GRAMS,"GRAM, a unit of mass in the metric system, also GRAMME [n]"
GRAND,"large and impressive [adj GRANDER, GRANDEST, GRANDLY] / a type of piano [n -S]"
GRANT,"to bestow upon [v -ED, -ING, -S]"
GRAPH,"to represent by a diagram [v -ED, -ING, -S]"
GRAPY,"resembling grapes, also GRAPEY [adj GRAPIER, GRAPIEST]"
